experiment,bend_deg,jacobian_contact,plant_contact,controller,solver,frame,stage,stage_1based,channel_index,channel,command,input_scale,command_utilization_abs,B_x,B_y,B_z,jacobian_gain_raw,jacobian_authority_scaled_m,contribution_x_m,contribution_y_m,contribution_z_m,contribution_norm_m,tangential_contribution_m,lateral_contribution_m,gain_ratio_from_stage0,direction_change_from_stage0_deg,solution_to_controller_gain_ratio,solution_to_controller_angle_deg,progress
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,0,7,8,6,dL,0.05,0.5,0.1,-0.010000412545048517,-6.279190119671206e-08,0.0002119580401820586,0.010002658510911207,0.005001329255455603,-0.0005000206272524259,-3.139595059835603e-09,1.059790200910293e-05,0.0005001329255455605,0.0005000136797667961,1.092077198868704e-05,1.0,0.0,1.0,0.0,0.013737373737374261
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,0,8,9,0,vx,0.0003741524542886328,0.5,0.0007483049085772656,-4.988803730863589e-07,-5.616654235289803e-08,0.00026523905088229226,0.00026523952599348077,0.00013261976299674039,-1.8665731598668997e-10,-2.101484967024324e-11,9.92398418607972e-08,9.924001962481445e-08,1.2349257601414015e-10,9.923994278876437e-08,1.0,0.0,1.0,0.0,0.013737373737374261
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,0,8,9,1,vy,0.006289796286908609,0.5,0.012579592573817218,7.151700365018715e-14,-9.535251916697091e-07,2.1246300375013858e-10,9.535252153400499e-07,4.7676260767002495e-07,4.498273840097766e-16,-5.997479210037956e-09,1.3363490120930715e-12,5.997479358919578e-09,3.816811895874338e-12,5.997478144404808e-09,1.0,0.0,1.0,0.0,0.013737373737374261
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,0,8,9,2,vz,0.0,0.0,0.0,-6.19362452791277e-09,-8.281522890153611e-10,3.298066654801639e-06,3.2980725744494285e-06,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,8.537736462515939e-07,1.0,8.537736462515939e-07,0.013737373737374261
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,0,8,9,3,wx,0.0,0.0,0.0,8.152484971475597e-24,1.692678175749073e-21,-4.3349610869663125e-21,4.653720392887885e-21,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,,,,0.013737373737374261
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,0,8,9,4,wy,-4.992790297748777e-05,0.5,9.985580595497554e-05,6.657056645014443e-08,7.495014968140181e-09,-3.5394359042295136e-05,3.5394422439566184e-05,1.7697211219783092e-05,-3.3237287828792137e-12,-3.7421038014412157e-13,1.7671661242140786e-09,1.7671692895068766e-09,2.19895281866529e-12,1.7671679213879874e-09,1.0,0.0,1.0,0.0,0.013737373737374261
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,0,8,9,5,wz,-0.11677739248479539,5.235987755982988,0.022302839106405046,-1.691602042484924e-12,1.7703305556343377e-05,-3.750233359165554e-09,1.7703305953564475e-05,9.269429321328433e-05,1.975408756433435e-13,-2.0673458612313695e-06,4.379424728928485e-10,2.0673459076178134e-06,1.3156364321923771e-09,2.0673454889894187e-06,1.0,0.0,1.0,0.0,0.013737373737374261
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,0,8,9,6,dL,0.05,0.5,0.1,-0.010000412545048517,-6.279190119671206e-08,0.0002119580401820586,0.010002658510911207,0.005001329255455603,-0.0005000206272524259,-3.139595059835603e-09,1.059790200910293e-05,0.0005001329255455605,0.0005000136797667961,1.092077198868704e-05,1.0,0.0,1.0,0.0,0.013737373737374261
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,0,9,10,0,vx,0.0003741524542886328,0.5,0.0007483049085772656,-4.988803730863589e-07,-5.616654235289803e-08,0.00026523905088229226,0.00026523952599348077,0.00013261976299674039,-1.8665731598668997e-10,-2.101484967024324e-11,9.92398418607972e-08,9.924001962481445e-08,1.2349257601414015e-10,9.923994278876437e-08,1.0,0.0,1.0,0.0,0.013737373737374261
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,0,9,10,1,vy,0.006289796286908609,0.5,0.012579592573817218,7.151700365018715e-14,-9.535251916697091e-07,2.1246300375013858e-10,9.535252153400499e-07,4.7676260767002495e-07,4.498273840097766e-16,-5.997479210037956e-09,1.3363490120930715e-12,5.997479358919578e-09,3.816811895874338e-12,5.997478144404808e-09,1.0,0.0,1.0,0.0,0.013737373737374261
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,0,9,10,2,vz,0.0,0.0,0.0,-6.19362452791277e-09,-8.281522890153611e-10,3.298066654801639e-06,3.2980725744494285e-06,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,8.537736462515939e-07,1.0,8.537736462515939e-07,0.013737373737374261
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,0,9,10,3,wx,0.0,0.0,0.0,8.152484971475597e-24,1.692678175749073e-21,-4.3349610869663125e-21,4.653720392887885e-21,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,,,,0.013737373737374261
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,0,9,10,4,wy,-4.992790297748777e-05,0.5,9.985580595497554e-05,6.657056645014443e-08,7.495014968140181e-09,-3.5394359042295136e-05,3.5394422439566184e-05,1.7697211219783092e-05,-3.3237287828792137e-12,-3.7421038014412157e-13,1.7671661242140786e-09,1.7671692895068766e-09,2.19895281866529e-12,1.7671679213879874e-09,1.0,0.0,1.0,0.0,0.013737373737374261
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,0,9,10,5,wz,-0.11677739248479539,5.235987755982988,0.022302839106405046,-1.691602042484924e-12,1.7703305556343377e-05,-3.750233359165554e-09,1.7703305953564475e-05,9.269429321328433e-05,1.975408756433435e-13,-2.0673458612313695e-06,4.379424728928485e-10,2.0673459076178134e-06,1.3156364321923771e-09,2.0673454889894187e-06,1.0,0.0,1.0,0.0,0.013737373737374261
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,0,9,10,6,dL,0.05,0.5,0.1,-0.010000412545048517,-6.279190119671206e-08,0.0002119580401820586,0.010002658510911207,0.005001329255455603,-0.0005000206272524259,-3.139595059835603e-09,1.059790200910293e-05,0.0005001329255455605,0.0005000136797667961,1.092077198868704e-05,1.0,0.0,1.0,0.0,0.013737373737374261
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,0,10,11,0,vx,0.0003741524542886328,0.5,0.0007483049085772656,-4.988803730863589e-07,-5.616654235289803e-08,0.00026523905088229226,0.00026523952599348077,0.00013261976299674039,-1.8665731598668997e-10,-2.101484967024324e-11,9.92398418607972e-08,9.924001962481445e-08,1.2349257601414015e-10,9.923994278876437e-08,1.0,0.0,1.0,0.0,0.013737373737374261
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,0,10,11,1,vy,0.006289796286908609,0.5,0.012579592573817218,7.151700365018715e-14,-9.535251916697091e-07,2.1246300375013858e-10,9.535252153400499e-07,4.7676260767002495e-07,4.498273840097766e-16,-5.997479210037956e-09,1.3363490120930715e-12,5.997479358919578e-09,3.816811895874338e-12,5.997478144404808e-09,1.0,0.0,1.0,0.0,0.013737373737374261
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,0,10,11,2,vz,0.0,0.0,0.0,-6.19362452791277e-09,-8.281522890153611e-10,3.298066654801639e-06,3.2980725744494285e-06,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,8.537736462515939e-07,1.0,8.537736462515939e-07,0.013737373737374261
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,0,10,11,3,wx,0.0,0.0,0.0,8.152484971475597e-24,1.692678175749073e-21,-4.3349610869663125e-21,4.653720392887885e-21,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,,,,0.013737373737374261
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,0,10,11,4,wy,-4.992790297748777e-05,0.5,9.985580595497554e-05,6.657056645014443e-08,7.495014968140181e-09,-3.5394359042295136e-05,3.5394422439566184e-05,1.7697211219783092e-05,-3.3237287828792137e-12,-3.7421038014412157e-13,1.7671661242140786e-09,1.7671692895068766e-09,2.19895281866529e-12,1.7671679213879874e-09,1.0,0.0,1.0,0.0,0.013737373737374261
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,0,10,11,5,wz,-0.11677739248479539,5.235987755982988,0.022302839106405046,-1.691602042484924e-12,1.7703305556343377e-05,-3.750233359165554e-09,1.7703305953564475e-05,9.269429321328433e-05,1.975408756433435e-13,-2.0673458612313695e-06,4.379424728928485e-10,2.0673459076178134e-06,1.3156364321923771e-09,2.0673454889894187e-06,1.0,0.0,1.0,0.0,0.013737373737374261
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,0,10,11,6,dL,0.05,0.5,0.1,-0.010000412545048517,-6.279190119671206e-08,0.0002119580401820586,0.010002658510911207,0.005001329255455603,-0.0005000206272524259,-3.139595059835603e-09,1.059790200910293e-05,0.0005001329255455605,0.0005000136797667961,1.092077198868704e-05,1.0,0.0,1.0,0.0,0.013737373737374261
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,0,11,12,0,vx,0.0003741524542886328,0.5,0.0007483049085772656,-4.988803730863589e-07,-5.616654235289803e-08,0.00026523905088229226,0.00026523952599348077,0.00013261976299674039,-1.8665731598668997e-10,-2.101484967024324e-11,9.92398418607972e-08,9.924001962481445e-08,1.2349257601414587e-10,9.923994278876437e-08,1.0,0.0,1.0,0.0,0.013737373737374261
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,0,11,12,1,vy,0.006289796286908609,0.5,0.012579592573817218,7.151700365018715e-14,-9.535251916697091e-07,2.1246300375013858e-10,9.535252153400499e-07,4.7676260767002495e-07,4.498273840097766e-16,-5.997479210037956e-09,1.3363490120930715e-12,5.997479358919578e-09,3.816811897522326e-12,5.997478144404807e-09,1.0,0.0,1.0,0.0,0.013737373737374261
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,0,11,12,2,vz,0.0,0.0,0.0,-6.19362452791277e-09,-8.281522890153611e-10,3.298066654801639e-06,3.2980725744494285e-06,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,8.537736462515939e-07,1.0,8.537736462515939e-07,0.013737373737374261
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,0,11,12,3,wx,0.0,0.0,0.0,8.152484971475597e-24,1.692678175749073e-21,-4.3349610869663125e-21,4.653720392887885e-21,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,,,,0.013737373737374261
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,0,11,12,4,wy,-4.992790297748777e-05,0.5,9.985580595497554e-05,6.657056645014443e-08,7.495014968140181e-09,-3.5394359042295136e-05,3.5394422439566184e-05,1.7697211219783092e-05,-3.3237287828792137e-12,-3.7421038014412157e-13,1.7671661242140786e-09,1.7671692895068766e-09,2.1989528186653928e-12,1.7671679213879874e-09,1.0,0.0,1.0,0.0,0.013737373737374261
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,0,11,12,5,wz,-0.11677739248479539,5.235987755982988,0.022302839106405046,-1.691602042484924e-12,1.7703305556343377e-05,-3.750233359165554e-09,1.7703305953564475e-05,9.269429321328433e-05,1.975408756433435e-13,-2.0673458612313695e-06,4.379424728928485e-10,2.0673459076178134e-06,1.3156364327604426e-09,2.0673454889894187e-06,1.0,0.0,1.0,0.0,0.013737373737374261
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,0,11,12,6,dL,0.05,0.5,0.1,-0.010000412545048517,-6.279190119671206e-08,0.0002119580401820586,0.010002658510911207,0.005001329255455603,-0.0005000206272524259,-3.139595059835603e-09,1.059790200910293e-05,0.0005001329255455605,0.0005000136797667959,1.0920771988691006e-05,1.0,0.0,1.0,0.0,0.013737373737374261
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,0,12,13,0,vx,0.0003741524542886328,0.5,0.0007483049085772656,-4.988803730863589e-07,-5.616654235289803e-08,0.00026523905088229226,0.00026523952599348077,0.00013261976299674039,-1.8665731598668997e-10,-2.101484967024324e-11,9.92398418607972e-08,9.924001962481445e-08,1.234925760141228e-10,9.923994278876437e-08,1.0,0.0,1.0,0.0,0.013737373737374261
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,0,12,13,1,vy,0.006289796286908609,0.5,0.012579592573817218,7.151700365018715e-14,-9.535251916697091e-07,2.1246300375013858e-10,9.535252153400499e-07,4.7676260767002495e-07,4.498273840097766e-16,-5.997479210037956e-09,1.3363490120930715e-12,5.997479358919578e-09,3.8168118958753875e-12,5.997478144404809e-09,1.0,0.0,1.0,0.0,0.013737373737374261
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,0,12,13,2,vz,0.0,0.0,0.0,-6.19362452791277e-09,-8.281522890153611e-10,3.298066654801639e-06,3.2980725744494285e-06,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,8.537736462515939e-07,1.0,8.537736462515939e-07,0.013737373737374261
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,0,12,13,3,wx,0.0,0.0,0.0,8.152484971475597e-24,1.692678175749073e-21,-4.3349610869663125e-21,4.653720392887885e-21,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,,,,0.013737373737374261
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,0,12,13,4,wy,-4.992790297748777e-05,0.5,9.985580595497554e-05,6.657056645014443e-08,7.495014968140181e-09,-3.5394359042295136e-05,3.5394422439566184e-05,1.7697211219783092e-05,-3.3237287828792137e-12,-3.7421038014412157e-13,1.7671661242140786e-09,1.7671692895068766e-09,2.198952818664981e-12,1.7671679213879874e-09,1.0,0.0,1.0,0.0,0.013737373737374261
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,0,12,13,5,wz,-0.11677739248479539,5.235987755982988,0.022302839106405046,-1.691602042484924e-12,1.7703305556343377e-05,-3.750233359165554e-09,1.7703305953564475e-05,9.269429321328433e-05,1.975408756433435e-13,-2.0673458612313695e-06,4.379424728928485e-10,2.0673459076178134e-06,1.3156364321927386e-09,2.0673454889894187e-06,1.0,0.0,1.0,0.0,0.013737373737374261
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,0,12,13,6,dL,0.05,0.5,0.1,-0.010000412545048517,-6.279190119671206e-08,0.0002119580401820586,0.010002658510911207,0.005001329255455603,-0.0005000206272524259,-3.139595059835603e-09,1.059790200910293e-05,0.0005001329255455605,0.0005000136797667961,1.0920771988687132e-05,1.0,0.0,1.0,0.0,0.013737373737374261
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,0,13,14,0,vx,0.0003741524542886328,0.5,0.0007483049085772656,-4.988803730863589e-07,-5.616654235289803e-08,0.00026523905088229226,0.00026523952599348077,0.00013261976299674039,-1.8665731598668997e-10,-2.101484967024324e-11,9.92398418607972e-08,9.924001962481445e-08,1.2349257601754878e-10,9.923994278876435e-08,1.0,0.0,1.0,0.0,0.013737373737374261
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,0,13,14,1,vy,0.006289796286908609,0.5,0.012579592573817218,7.151700365018715e-14,-9.535251916697091e-07,2.1246300375013858e-10,9.535252153400499e-07,4.7676260767002495e-07,4.498273840097766e-16,-5.997479210037956e-09,1.3363490120930715e-12,5.997479358919578e-09,3.8168118958743834e-12,5.997478144404808e-09,1.0,0.0,1.0,0.0,0.013737373737374261
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,0,13,14,2,vz,0.0,0.0,0.0,-6.19362452791277e-09,-8.281522890153611e-10,3.298066654801639e-06,3.2980725744494285e-06,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,8.537736462515939e-07,1.0,8.537736462515939e-07,0.013737373737374261
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,0,13,14,3,wx,0.0,0.0,0.0,8.152484971475597e-24,1.692678175749073e-21,-4.3349610869663125e-21,4.653720392887885e-21,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,,,,0.013737373737374261
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,0,13,14,4,wy,-4.992790297748777e-05,0.5,9.985580595497554e-05,6.657056645014443e-08,7.495014968140181e-09,-3.5394359042295136e-05,3.5394422439566184e-05,1.7697211219783092e-05,-3.3237287828792137e-12,-3.7421038014412157e-13,1.7671661242140786e-09,1.7671692895068766e-09,2.198952818725988e-12,1.7671679213879874e-09,1.0,0.0,1.0,0.0,0.013737373737374261
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,0,13,14,5,wz,-0.11677739248479539,5.235987755982988,0.022302839106405046,-1.691602042484924e-12,1.7703305556343377e-05,-3.750233359165554e-09,1.7703305953564475e-05,9.269429321328433e-05,1.975408756433435e-13,-2.0673458612313695e-06,4.379424728928485e-10,2.0673459076178134e-06,1.315636432192392e-09,2.0673454889894187e-06,1.0,0.0,1.0,0.0,0.013737373737374261
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,0,13,14,6,dL,0.05,0.5,0.1,-0.010000412545048517,-6.279190119671206e-08,0.0002119580401820586,0.010002658510911207,0.005001329255455603,-0.0005000206272524259,-3.139595059835603e-09,1.059790200910293e-05,0.0005001329255455605,0.0005000136797667966,1.0920771988669873e-05,1.0,0.0,1.0,0.0,0.013737373737374261
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,0,14,15,0,vx,0.0003741524542886328,0.5,0.0007483049085772656,-4.988803730863589e-07,-5.616654235289803e-08,0.00026523905088229226,0.00026523952599348077,0.00013261976299674039,-1.8665731598668997e-10,-2.101484967024324e-11,9.92398418607972e-08,9.924001962481445e-08,1.2349257601754878e-10,9.923994278876435e-08,1.0,0.0,1.0,0.0,0.013737373737374261
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,0,14,15,1,vy,0.006289796286908609,0.5,0.012579592573817218,7.151700365018715e-14,-9.535251916697091e-07,2.1246300375013858e-10,9.535252153400499e-07,4.7676260767002495e-07,4.498273840097766e-16,-5.997479210037956e-09,1.3363490120930715e-12,5.997479358919578e-09,3.8168118958743834e-12,5.997478144404808e-09,1.0,0.0,1.0,0.0,0.013737373737374261
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,0,14,15,2,vz,0.0,0.0,0.0,-6.19362452791277e-09,-8.281522890153611e-10,3.298066654801639e-06,3.2980725744494285e-06,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,1.0,8.537736462515939e-07,1.0,8.537736462515939e-07,0.013737373737374261
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,0,14,15,3,wx,0.0,0.0,0.0,8.152484971475597e-24,1.692678175749073e-21,-4.3349610869663125e-21,4.653720392887885e-21,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,,,,,0.013737373737374261
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,0,14,15,4,wy,-4.992790297748777e-05,0.5,9.985580595497554e-05,6.657056645014443e-08,7.495014968140181e-09,-3.5394359042295136e-05,3.5394422439566184e-05,1.7697211219783092e-05,-3.3237287828792137e-12,-3.7421038014412157e-13,1.7671661242140786e-09,1.7671692895068766e-09,2.198952818725988e-12,1.7671679213879874e-09,1.0,0.0,1.0,0.0,0.013737373737374261
bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,,True,True,inverse_jacobian,held,0,14,15,5,wz,-0.11677739248479539,5.235987755982988,0.022302839106405046,-1.691602042484924e-12,1.7703305556343377e-05,-3.750233359165554e-09,1.7703305953564475e-05,9.269429321328433e-05,1.975408756433435e-13,-2.0673458612313695e-06,4.379424728928485e-10,2.0673459076178134e-06,1.315636432192392e-09,2.0673454889894187e-06,1.0,0.0,1.0,0.0,0.013737373737374261
