comparison_key,experiment,controller_variant,controller,solver,bend_deg,jacobian_contact,plant_contact,rollout_steps,Np,frame,progress,progress_available,first_applied_tracking_error_m,first_nonlinear_tracking_error_m,first_linear_tracking_error_m,first_linearisation_error_m,terminal_linearisation_error_m,max_linearisation_error_m,mean_linearisation_error_m,max_B_drift_relative,mean_B_drift_relative,max_B_change_from_stage0_relative,source_command_utilization_l2,source_command_utilization_max,dL_command_utilization_abs,source_contribution_sum_m,source_net_contribution_m,dL_contribution_m,source_scaled_authority_mean_m,dL_scaled_authority_m,normalized_command_change_l2
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,Inverse Jacobian,inverse_jacobian,held,,True,True,10,15,10,0.02141407059843531,True,0.000872154498855918,,0.0008716384374859117,,,,,0.0,0.0,0.0,0.0140568856028045,0.012247147251954655,0.003409722884451202,3.2151514616684498e-06,2.5931430905439023e-06,1.7140279877108267e-05,0.00011781510508137888,0.005026883549765954,0.004832791494562093
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,Inverse Jacobian,inverse_jacobian,held,,True,True,10,15,11,0.021818051023999724,True,0.0010625032096737727,,0.0010618313881454236,,,,,0.0,0.0,0.0,0.024884099449714037,0.02131686976368944,0.003520104970771808,6.107833385401254e-06,4.984217963138795e-06,1.7703570017466608e-05,0.00012186585932433595,0.005029273321239899,0.010845926057570027
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,Inverse Jacobian,inverse_jacobian,held,,True,True,10,15,12,0.021818051023999724,True,0.0010292518347735358,,0.0010286862125871749,,,,,0.0,0.0,0.0,0.018944365263129044,0.015775827316879862,0.002675066333451593,5.0740484589599995e-06,4.202327335779353e-06,1.3462224284829686e-05,0.00012623403815030144,0.005032482416037738,0.006096551096111971
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,Inverse Jacobian,inverse_jacobian,held,,True,True,10,15,13,0.021818051023999724,True,0.001031218681051111,,0.0010312149081984974,,,,,0.0,0.0,0.0,0.013163768462996777,0.010706501051206985,0.0020369011771644023,4.174862217487799e-06,3.4931402057232477e-06,1.0268806249709235e-05,0.0001441662231461739,0.005041386575270469,0.005845483254205769
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,Inverse Jacobian,inverse_jacobian,held,,True,True,10,15,14,0.022222016432337587,True,0.0012310829857987283,,0.001229974850008088,,,,,0.0,0.0,0.0,0.029253801609576375,0.023583796063458017,0.0026468285016518697,8.11199647680966e-06,6.8101975237336415e-06,1.3324301075801819e-05,0.00012451011530762333,0.005034062867120481,0.01610398103694413
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,Inverse Jacobian,inverse_jacobian,held,,True,True,10,15,15,0.022222016432337587,True,0.0012525435566651984,,0.0012516001962930158,,,,,0.0,0.0,0.0,0.023247783467087838,0.018345581203048605,0.002182762718855296,6.796382142932033e-06,5.736368817522747e-06,1.0995648286868724e-05,0.00012786291820829384,0.005037491336958128,0.006078815280367186
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,Inverse Jacobian,inverse_jacobian,held,,True,True,10,15,16,0.022222016432337587,True,0.0012866642933084679,,0.0012866588903793913,,,,,0.0,0.0,0.0,0.016327468408251604,0.012685058779052526,0.0018021603265944077,5.705514580729268e-06,4.828235961800103e-06,9.100448706041447e-06,0.00015033893829413824,0.005049744227384484,0.0069435132109049915
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,Inverse Jacobian,inverse_jacobian,held,,True,True,10,15,17,0.022222016432337587,True,0.0013201353333686017,,0.0013193907783291463,,,,,0.0,0.0,0.0,0.01519181023844277,0.011722154064880612,0.001481421015547082,4.611613105417191e-06,3.903541515102204e-06,7.4682582941239445e-06,0.0001296913716317751,0.005041280105889379,0.0011900134065869477
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,Inverse Jacobian,inverse_jacobian,held,,True,True,10,15,18,0.022625974624213084,True,0.0015119753784407356,,0.0015106877723574475,,,,,0.0,0.0,0.0,0.03005493977171267,0.02303364644024256,0.002162610352391016,9.316902265296964e-06,7.886546670506738e-06,1.0906848665992858e-05,0.00013158368312635754,0.0050433720776070804,0.014880035073268235
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,Inverse Jacobian,inverse_jacobian,held,,True,True,10,15,19,0.022625974624213084,True,0.0015683914849401643,,0.0015683804428287449,,,,,0.0,0.0,0.0,0.02145111744901485,0.016120449594453832,0.001873535720539125,7.996981499253074e-06,6.781639701434008e-06,9.476485397562261e-06,0.00015524470447433428,0.005058075644714863,0.008630764658155089
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,Inverse Jacobian,inverse_jacobian,held,,True,True,10,15,20,0.022625974624213084,True,0.0016188355268973826,,0.0016178183085672616,,,,,0.0,0.0,0.0,0.02064427706784352,0.015466350005074556,0.0016115794304411813,6.671928085633562e-06,5.641619679571666e-06,8.136916946647099e-06,0.00013424383464400295,0.005049032516144462,0.0008552685946044623
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,Inverse Jacobian,inverse_jacobian,held,,True,True,10,15,21,0.022625974624213084,True,0.001675264972412189,,0.0016744351616122984,,,,,0.0,0.0,0.0,0.01680905933952201,0.012515595946955657,0.0013906610008126792,5.544581705724495e-06,4.6786774916199125e-06,7.025496146653135e-06,0.00013633481105930964,0.005051911387856245,0.0038443546041994734
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,Inverse Jacobian,inverse_jacobian,held,,True,True,10,15,22,0.022625974624213084,True,0.0017263914230666972,,0.0017257149620249765,,,,,0.0,0.0,0.0,0.01376568579074694,0.010203606776533135,0.0012000251262737442,4.6171201575765994e-06,3.88820254547533e-06,6.06541685288261e-06,0.00013814728717790738,0.005054408212031883,0.003050563282529429
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,Inverse Jacobian,inverse_jacobian,held,,True,True,10,15,23,0.023029937420478448,True,0.0018964018379986612,,0.0018963947788836373,,,,,0.0,0.0,0.0,0.024703332722890145,0.018196272418633634,0.0018854954814715953,9.70623692638472e-06,8.16712883268754e-06,9.557303356443252e-06,0.00016103886941057645,0.005068855083643027,0.010959933826443773
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_inverse_jacobian_held_kp1_rollout10_Np15_bends_0_-30,Inverse Jacobian,inverse_jacobian,held,,True,True,10,15,24,0.023029937420478448,True,0.0019627567100023945,,0.0019614027294777253,,,,,0.0,0.0,0.0,0.02408740453150427,0.017313011914047403,0.0016678307126379113,8.239550291005507e-06,6.952698654062223e-06,8.434946957282233e-06,0.0001378054952757595,0.0050574359216237035,0.0009205941485125732
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_mpc_lti_rollout10_Np15_sqp50_bends_0_-30,MPC-LTI,mpc,lti,,True,True,10,15,0,0.013737373737374261,True,0.0003368487415572094,0.0003368487415572094,0.00033684890944199046,7.016578771157316e-07,8.734344550745194e-05,8.734344550745194e-05,2.5397512406686046e-05,0.0,0.0,0.0,0.13259790957526174,0.12158068475656059,0.08011917776329495,4.503471712462918e-06,1.93565648914084e-06,0.00040070238767061513,4.058133833957964e-05,0.005001329255455603,
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_mpc_lti_rollout10_Np15_sqp50_bends_0_-30,MPC-LTI,mpc,lti,,True,True,10,15,1,0.014545454545455134,True,0.002354125642059686,0.002354125642059686,0.002354143218070399,8.509425710986724e-08,0.000124392107601177,0.000124392107601177,4.001176097201334e-05,0.0,0.0,0.0,0.11082551968506676,0.10447597113750301,0.019998390377007447,3.034032458996365e-05,2.8265619376126804e-05,0.00010010417748000186,8.068755822755691e-05,0.0050056117313868245,0.2151673417223676
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_mpc_lti_rollout10_Np15_sqp50_bends_0_-30,MPC-LTI,mpc,lti,,True,True,10,15,2,0.015757575757576442,True,0.002142756534710595,0.002142756534710595,0.0021428192572119555,4.650165899321829e-06,0.00031926681582516043,0.00031926681582516043,0.0001015764151249888,0.0,0.0,0.0,0.14489311861518217,0.13901457737665782,0.019991685971691528,4.0618687030623754e-05,3.971139959804875e-05,0.00010010814879021155,8.511898869359597e-05,0.005007489059800454,0.2553180075390958
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_mpc_lti_rollout10_Np15_sqp50_bends_0_-30,MPC-LTI,mpc,lti,,True,True,10,15,3,0.0165656565656572,True,0.002335488773872841,0.002335488773872841,0.0023358696617772436,5.216359841748547e-07,0.0005200099279371246,0.0005200099279371246,0.00016476694913544523,0.0,0.0,0.0,0.36526064609957243,0.33147092431209996,0.020009252821818462,0.00011823712946226685,0.00011684779153249961,0.00010021321534881658,0.00010575864401826505,0.005008343701846889,0.5085131851330245
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_mpc_lti_rollout10_Np15_sqp50_bends_0_-30,MPC-LTI,mpc,lti,,True,True,10,15,4,0.017777777777778503,True,0.0021294523908944726,0.0021294523908944726,0.00213044322290872,1.8132696365521092e-06,0.0005212963809571576,0.0005212963809571576,0.00017975728007892677,0.0,0.0,0.0,0.604357749332629,0.42197359602682893,0.01999340862538174,0.00018101789623012763,0.00017674193535477812,0.0001003119523925064,0.0001200398006682955,0.005017251148719075,0.9539372786702301
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_mpc_lti_rollout10_Np15_sqp50_bends_0_-30,MPC-LTI,mpc,lti,,True,True,10,15,5,0.01858585858585937,True,0.002366537745728014,0.002366537745728014,0.0023678911044793275,1.4082178616291888e-06,0.0003588392971874181,0.0003588392971874181,0.00012371817584027028,0.0,0.0,0.0,0.5698047364562847,0.5076610213311458,0.020001045326103147,0.0002526145128432607,0.00022658195635072602,0.00010025233361492787,0.00013414311746163195,0.005012354703485904,1.1515093478447176
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_mpc_lti_rollout10_Np15_sqp50_bends_0_-30,MPC-LTI,mpc,lti,,True,True,10,15,6,0.019797979797980564,True,0.002102204516263657,0.002102204516263657,0.002102775570145593,1.0614269796478687e-06,0.0001628456081705909,0.0001628456081705909,5.8169863351536514e-05,0.0,0.0,0.0,0.4308160499768307,0.27944885133314024,0.019994742312478678,0.00019381035031871955,0.00014225060337614184,0.00010044207855633105,0.00014874189334874164,0.005023424507633958,0.9078629586550261
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_mpc_lti_rollout10_Np15_sqp50_bends_0_-30,MPC-LTI,mpc,lti,,True,True,10,15,7,0.02060605354337191,True,0.0020943040828825727,0.0020943040828825727,0.002095055437911758,4.488762358079597e-06,7.290150453115718e-05,7.290150453115718e-05,2.821720398402634e-05,0.0,0.0,0.0,0.7894967491279776,0.500659508049521,0.019999695658119373,0.0003107906483931367,0.00018561144536328748,0.00010043176062254225,0.0001626334501861996,0.005021664446267185,0.9580095719363386
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_mpc_lti_rollout10_Np15_sqp50_bends_0_-30,MPC-LTI,mpc,lti,,True,True,10,15,8,0.02141407059843531,True,0.0021429627451787546,0.0021429627451787546,0.0021438545098567824,1.6991483900278428e-06,4.7209117202391335e-05,4.7209117202391335e-05,1.8525440546252056e-05,0.0,0.0,0.0,0.8009754053718198,0.6064032715108171,0.019999279928758565,0.00027848143397530157,0.00020475450395661832,0.00010054932678346875,0.00017951208207438778,0.005027647352386964,0.5287037198117623
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_mpc_lti_rollout10_Np15_sqp50_bends_0_-30,MPC-LTI,mpc,lti,,True,True,10,15,9,0.022625974624213084,True,0.0018691823874653598,0.0018691823874653598,0.0018700886701184703,1.679434310060418e-06,4.4607787537314836e-05,4.4607787537314836e-05,1.822594029627751e-05,0.0,0.0,0.0,0.8423172035310886,0.6663753857270285,0.020000504617266084,0.0003334598656932706,0.00022008034735084386,0.0001006332495466499,0.0001983617133283872,0.005031535527347394,0.08402174039546778
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_mpc_lti_rollout10_Np15_sqp50_bends_0_-30,MPC-LTI,mpc,lti,,True,True,10,15,10,0.023433914222144848,True,0.0021282831998888797,0.0021282831998888797,0.002128804529112973,1.6529414409730302e-06,3.19283956743762e-05,3.21554815830449e-05,1.895173372014426e-05,0.0,0.0,0.0,0.5892543687098141,0.45929189727118763,0.020005345629568797,0.0002450510203332291,0.0001609139244979254,0.00010078867187969195,0.00021975434696964706,0.0050380870066409535,0.2706815948583983
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_mpc_lti_rollout10_Np15_sqp50_bends_0_-30,MPC-LTI,mpc,lti,,True,True,10,15,11,0.02464594586864694,True,0.0020461683629023376,0.0020461683629023376,0.0020466452778132084,1.8100906911239993e-06,1.0591541320968157e-05,4.137062000637991e-05,2.055180082484772e-05,0.0,0.0,0.0,0.21952076738424478,0.17210591504259012,0.020008135339305587,0.00010818127608206666,6.767190307685688e-05,0.0001009549419758634,0.00024244180249945616,0.0050456946768817285,0.370635445721788
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_mpc_lti_rollout10_Np15_sqp50_bends_0_-30,MPC-LTI,mpc,lti,,True,True,10,15,12,0.02545402548523877,True,0.0023221574417913375,0.0023221574417913375,0.0023225217458073466,1.8680417350590412e-06,1.5474308373663073e-05,4.925178307402711e-05,2.7486732486336455e-05,0.0,0.0,0.0,0.07818692459564722,0.06087289346236743,0.020004021123416454,4.897077179391983e-05,2.7964187079218472e-05,0.00010110806160604123,0.00026573343794861155,0.005054386864633202,0.1486372676425811
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_mpc_lti_rollout10_Np15_sqp50_bends_0_-30,MPC-LTI,mpc,lti,,True,True,10,15,13,0.026666146697360095,True,0.0021528897106347657,0.0021528897106347657,0.002153421220939189,2.502483482855587e-06,3.342651724110223e-05,5.6939990882451636e-05,3.491456599775694e-05,0.0,0.0,0.0,0.046840203467709854,0.03268272636474782,0.019998182173783272,3.651412949257314e-05,1.8485094261586987e-05,0.00010125850048697212,0.0002881834435719864,0.005063385242070527,0.037654603592256995
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_mpc_lti_rollout10_Np15_sqp50_bends_0_-30,MPC-LTI,mpc,lti,,True,True,10,15,14,0.027474227505440894,True,0.0023690338736481412,0.0023690338736481412,0.0023721343068412995,1.0044409305565145e-05,6.247039970579207e-05,8.751507912158517e-05,6.27152390362922e-05,0.0,0.0,0.0,0.03876397035296082,0.025589605078033564,0.02000852545204796,3.096903662820091e-05,1.577444282565119e-05,0.00010131479197185535,0.0002871353476316892,0.005063581132685884,0.00898326132840273
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_mpc_lti_rollout10_Np15_sqp50_bends_0_-30,MPC-LTI,mpc,lti,,True,True,10,15,15,0.02868634871756212,True,0.002170553815720632,0.002170553815720632,0.0021708298224835305,1.9476590114259967e-06,5.512015465697787e-05,0.0002756979691053582,5.433604090726544e-05,0.0,0.0,0.0,0.053815108050008664,0.03984042646583193,0.01999959003383379,4.3700817614201574e-05,3.003943288015381e-05,0.00010166094198315001,0.0003338543627082922,0.0050831512951599375,0.08100477646392881
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_mpc_lti_rollout10_Np15_sqp50_bends_0_-30,MPC-LTI,mpc,lti,,True,True,10,15,16,0.029494429525643018,True,0.002231047485950521,0.002231047485950521,0.0022341657462264003,1.0606122157600677e-05,0.00010080507987389802,0.00010080507987389802,6.718530955890167e-05,0.0,0.0,0.0,0.12036452484911783,0.0946268681920009,0.020007679905672687,7.365168361166358e-05,4.717404323949788e-05,0.000101639824254606,0.00032553753259657506,0.005080040501137192,0.17041357697826656
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_mpc_lti_rollout10_Np15_sqp50_bends_0_-30,MPC-LTI,mpc,lti,,True,True,10,15,17,0.030706550737764245,True,0.0021664093915594236,0.0021664093915594236,0.0021664848604472566,1.2662535571541355e-06,9.748478530827734e-05,0.00010313664947503183,5.946882007575735e-05,0.0,0.0,0.0,0.05547243790743267,0.04513273951880549,0.01999640078102555,4.959856928297129e-05,3.7864017624229416e-05,0.00010202735658311937,0.00037783408848449936,0.005102286041392632,0.16276033968294246
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_mpc_lti_rollout10_Np15_sqp50_bends_0_-30,MPC-LTI,mpc,lti,,True,True,10,15,18,0.0315146315458451,True,0.0023739019523303655,0.0023739019523303655,0.0023741819686944974,1.8649112609981387e-06,3.343864344989247e-05,9.933565887582164e-05,5.777249897019186e-05,0.0,0.0,0.0,0.0754483332024499,0.058693953025314036,0.019993484615916313,5.9719690409379165e-05,4.480004492858443e-05,0.00010204249305066342,0.0003689630941252335,0.005103787309263236,0.022718645403756472
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_mpc_lti_rollout10_Np15_sqp50_bends_0_-30,MPC-LTI,mpc,lti,,True,True,10,15,19,0.03272675275796637,True,0.002170974969153524,0.002170974969153524,0.0021724042633492345,6.011288942205693e-06,0.00016685416243306976,0.0002930659467095529,8.594113827155273e-05,0.0,0.0,0.0,0.0887294467236222,0.06830530667335798,0.019993692764961213,8.176241017560834e-05,5.390913704640714e-05,0.00010285475496003962,0.0004093118858331281,0.005144360082410177,0.016897391305033923
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_mpc_lti_rollout10_Np15_sqp50_bends_0_-30,MPC-LTI,mpc,lti,,True,True,10,15,20,0.03353483356604722,True,0.002396013163597113,0.002396013163597113,0.0023957712525670494,1.0693794021869943e-06,0.00015675740302348705,0.0002759910696165846,0.00011980568240949535,0.0,0.0,0.0,0.06071010899622284,0.04644930798805357,0.01999221725657157,3.4211688720638796e-05,2.527057187804552e-05,0.00010284432192063486,0.0004144268766257699,0.005144217902435473,0.10690317204157605
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_mpc_lti_rollout10_Np15_sqp50_bends_0_-30,MPC-LTI,mpc,lti,,True,True,10,15,21,0.03474695477816845,True,0.002186293573950007,0.002186293573950007,0.0021872904886007264,2.605429807452015e-06,7.298722108736341e-05,0.00047026147930292317,0.00025587012675823694,0.0,0.0,0.0,0.44974118776551225,0.3549038116406587,0.02000004549454761,0.0003023750614398897,0.00018098439322969303,0.00010342209557778145,0.000438871240917375,0.005171093016062203,0.4118891108324904
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_mpc_lti_rollout10_Np15_sqp50_bends_0_-30,MPC-LTI,mpc,lti,,True,True,10,15,22,0.035555035586249346,True,0.0023811670459130065,0.0023811670459130065,0.002397714869576236,4.4897569253069095e-05,0.0008726088826839216,0.0008726088826839216,0.00044417385183007904,0.0,0.0,0.0,1.0957362166116713,0.8442350192522253,0.020046343504960144,0.0005832698315927469,0.0002786080447661407,0.00010209652772981583,0.00040673332437113916,0.005093024955127287,0.6521614713330257
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_mpc_lti_rollout10_Np15_sqp50_bends_0_-30,MPC-LTI,mpc,lti,,True,True,10,15,23,0.03676715679837057,True,0.0019003876752946526,0.0019003876752946526,0.0019136178131862942,5.221053337234101e-05,0.0009602072592924205,0.0009602072592924205,0.00031042584888821485,0.0,0.0,0.0,0.7318279854273133,0.5506056386068111,0.019998996020428914,0.000559800407468985,0.00034094381438542,0.00010271660016413186,0.000474122460181066,0.005136087834569654,1.8252773515158203
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_mpc_lti_rollout10_Np15_sqp50_bends_0_-30,MPC-LTI,mpc,lti,,True,True,10,15,24,0.03757523760645137,True,0.002017113624205957,0.002017113624205957,0.002016631341574577,2.9117314956348717e-05,0.0027299914376948324,0.0027299914376948324,0.000888914278949058,0.0,0.0,0.0,0.8683475465422991,0.665103548188225,0.019995846300592323,0.0005045218441342486,0.00022074705622851352,0.00010286985472508323,0.00040036597463957864,0.005144561184291359,0.1409857993704238
"(None, True, True, 10, 15)",bends_p0_m30_jac_contact_plant_contact_1_ctrl_mpc_sqp_full_rollout10_Np15_sqp50_bends_0_-30,MPC-SQP,mpc,sqp_full,,True,True,10,15,0,0.013737373737374261,True,0.0003369757730309197,0.0003369757730309197,0.0003369763366538567,6.153442567267408e-08,7.746058458307336e-06,7.746058458307336e-06,1.763563799372306e-06,0.12550545882590944,0.04659017364637324,0.8698145010082731,0.11292839417995265,0.10672028586051618,0.08009504071493374,3.1793877624381048e-06,1.4544754364775583e-06,0.00040058166739202923,4.058129552304226e-05,0.005001329218593439,
